	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Bundestag>	<infobox/en/backgroundcolor>	"5"^^xsd:integer
	<Bundestag>	<infobox/en/backgroundcolor>	"59"^^xsd:integer
	<Bundestag>	<infobox/en/coares>	"220"^^<px>
	<Bundestag>	<infobox/en/coares>	"220px"
	<Bundestag>	<infobox/en/election>	"18"^^xsd:integer
	<Bundestag>	<infobox/en/election>	"2005"^^xsd:integer
	<Bundestag>	<infobox/en/election>	"18 October 2005"
	<Bundestag>	<infobox/en/election>	"2005-10-18"^^xsd:date
	<Bundestag>	<infobox/en/election>	"27"^^xsd:integer
	<Bundestag>	<infobox/en/election>	"2009"^^xsd:integer
	<Bundestag>	<infobox/en/election>	"27 October 2009"
	<Bundestag>	<infobox/en/election>	"2009-10-27"^^xsd:date
	<Bundestag>	<infobox/en/housetype>	<Lower_house>
	<Bundestag>	<infobox/en/housetype>	"Lower house"
	<Bundestag>	<infobox/en/lastelection>	<German_federal_election,_2009>
	<Bundestag>	<infobox/en/lastelection>	"2009"^^xsd:integer
	<Bundestag>	<infobox/en/lastelection>	"27"^^xsd:integer
	<Bundestag>	<infobox/en/lastelection>	"27 September 2009"
	<Bundestag>	<infobox/en/lastelection>	"2009-##-##"^^xsd:date
	<Bundestag>	<infobox/en/lastelection>	"2009-09-27"^^xsd:date
	<Bundestag>	<infobox/en/leader>	<Norbert_Lammert>
	<Bundestag>	<infobox/en/leader>	"Norbert Lammert"
	<Bundestag>	<infobox/en/leader>	<Wolfgang_Thierse>
	<Bundestag>	<infobox/en/leader>	<Social_Democratic_Party_of_Germany>
	<Bundestag>	<infobox/en/leader>	<Gerda_Hasselfeldt>
	<Bundestag>	<infobox/en/leader>	<Christian_Social_Union_of_Bavaria>
	<Bundestag>	<infobox/en/leader>	<Hermann_Otto_Solms>
	<Bundestag>	<infobox/en/leader>	<Free_Democratic_Party_(Germany)>
	<Bundestag>	<infobox/en/leader>	<Katrin_Göring-Eckardt>
	<Bundestag>	<infobox/en/leader>	<Alliance_90/The_Greens>
	<Bundestag>	<infobox/en/leader>	<Petra_Pau>
	<Bundestag>	<infobox/en/leader>	<The_Left_(Germany)>
	<Bundestag>	<infobox/en/leader>	"90"^^xsd:integer
	<Bundestag>	<infobox/en/leader>	"Wolfgang Thierse"
	<Bundestag>	<infobox/en/leader>	"SPD"
	<Bundestag>	<infobox/en/leader>	"Gerda Hasselfeldt"
	<Bundestag>	<infobox/en/leader>	"CSU"
	<Bundestag>	<infobox/en/leader>	"Hermann Otto Solms"
	<Bundestag>	<infobox/en/leader>	"FDP"
	<Bundestag>	<infobox/en/leader>	"Katrin Göring-Eckardt"
	<Bundestag>	<infobox/en/leader>	"Greens"
	<Bundestag>	<infobox/en/leader>	"Petra Pau"
	<Bundestag>	<infobox/en/leader>	"The Left"
	<Bundestag>	<infobox/en/leadertype>	<President_of_the_Bundestag>
	<Bundestag>	<infobox/en/leadertype>	"President of the Bundestag"
	<Bundestag>	<infobox/en/leadertype>	<Presidium_of_the_Bundestag>
	<Bundestag>	<infobox/en/leadertype>	"Vice Presidents of the Bundestag"
	<Bundestag>	<infobox/en/meetingplace>	<Reichstag_building>
	<Bundestag>	<infobox/en/meetingplace>	<Mitte>
	<Bundestag>	<infobox/en/meetingplace>	<Berlin>
	<Bundestag>	<infobox/en/meetingplace>	<Germany>
	<Bundestag>	<infobox/en/meetingplace>	"Reichstag"
	<Bundestag>	<infobox/en/meetingplace>	"Mitte"
	<Bundestag>	<infobox/en/meetingplace>	"Berlin"
	<Bundestag>	<infobox/en/meetingplace>	"Germany"
	<Bundestag>	<infobox/en/members>	<List_of_Bundestag_Members>
	<Bundestag>	<infobox/en/members>	"620"^^xsd:integer
	<Bundestag>	<infobox/en/members>	"620"
	<Bundestag>	<infobox/en/members>	"620-##-##"^^xsd:date
	<Bundestag>	<infobox/en/name>	<Federal_Diet_of_Germany>
	<Bundestag>	<infobox/en/name>	"Federal Diet of Germany"
	<Bundestag>	<infobox/en/nativename>	<Deutscher_Bundestag>
	<Bundestag>	<infobox/en/nativename>	"Deutscher Bundestag"
	<Bundestag>	<infobox/en/party>	<Christian_Democratic_Union_(Germany)>
	<Bundestag>	<infobox/en/party>	"CDU"
	<Bundestag>	<infobox/en/politicalgroups>	<Merkel_Cabinet_II>
	<Bundestag>	<infobox/en/politicalgroups>	<Christian_Democratic_Union_(Germany)>
	<Bundestag>	<infobox/en/politicalgroups>	<Free_Democratic_Party_(Germany)>
	<Bundestag>	<infobox/en/politicalgroups>	<Christian_Social_Union_of_Bavaria>
	<Bundestag>	<infobox/en/politicalgroups>	<Social_Democratic_Party_of_Germany>
	<Bundestag>	<infobox/en/politicalgroups>	<The_Left_(Germany)>
	<Bundestag>	<infobox/en/politicalgroups>	<Alliance_'90/The_Greens>
	<Bundestag>	<infobox/en/politicalgroups>	"0"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"331"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"195"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"93"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"3091"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"43"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"146"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"660000"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"76"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"90"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"68"^^xsd:integer
	<Bundestag>	<infobox/en/politicalgroups>	"Government"
	<Bundestag>	<infobox/en/politicalgroups>	"CDU"
	<Bundestag>	<infobox/en/politicalgroups>	"FDP"
	<Bundestag>	<infobox/en/politicalgroups>	"CSU"
	<Bundestag>	<infobox/en/politicalgroups>	"Opposition Parties"
	<Bundestag>	<infobox/en/politicalgroups>	"SPD"
	<Bundestag>	<infobox/en/politicalgroups>	"The Left"
	<Bundestag>	<infobox/en/politicalgroups>	"The Greens"
	<Bundestag>	<infobox/en/politicalgroups>	"331-##-##"^^xsd:date
	<Bundestag>	<infobox/en/politicalgroups>	"195-##-##"^^xsd:date
	<Bundestag>	<infobox/en/politicalgroups>	"146-##-##"^^xsd:date
	<Bundestag>	<infobox/en/structure>	"17"^^xsd:integer
	<Bundestag>	<infobox/en/structureres>	"240"^^<px>
	<Bundestag>	<infobox/en/structureres>	"240px"
	<Bundestag>	<infobox/en/website>	<http://www.bundestag.de>
	<Chancellor_of_Germany>	<infobox/en/appointer>	<President_of_Germany>
	<Chancellor_of_Germany>	<infobox/en/appointer>	"President of Germany"
	<Chancellor_of_Germany>	<infobox/en/body>	"Germany"
	<Chancellor_of_Germany>	<infobox/en/formation>	"1"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/formation>	"1867"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/formation>	"21"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/formation>	"1871"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/formation>	"1 July 1867"
	<Chancellor_of_Germany>	<infobox/en/formation>	"21 March 1871"
	<Chancellor_of_Germany>	<infobox/en/formation>	"1867-07-01"^^xsd:date
	<Chancellor_of_Germany>	<infobox/en/formation>	"1871-03-21"^^xsd:date
	<Chancellor_of_Germany>	<infobox/en/image>	"2010"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/image>	"3"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/image>	"4"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/image>	"2010-##-##"^^xsd:date
	<Chancellor_of_Germany>	<infobox/en/inaugural>	<Otto_von_Bismarck>
	<Chancellor_of_Germany>	<infobox/en/inaugural>	"Otto von Bismarck"
	<Chancellor_of_Germany>	<infobox/en/incumbent>	<Angela_Merkel>
	<Chancellor_of_Germany>	<infobox/en/incumbent>	"Angela Merkel"
	<Chancellor_of_Germany>	<infobox/en/incumbentsince>	"22"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/incumbentsince>	"2005"^^xsd:integer
	<Chancellor_of_Germany>	<infobox/en/incumbentsince>	"22 November 2005"
	<Chancellor_of_Germany>	<infobox/en/incumbentsince>	"2005-11-22"^^xsd:date
	<Chancellor_of_Germany>	<infobox/en/insigniadaption>	<Coat_of_Arms_of_Germany>
	<Chancellor_of_Germany>	<infobox/en/insigniadaption>	"Coat of arms of the German Government"
	<Chancellor_of_Germany>	<infobox/en/insigniasize>	"100"^^<px>
	<Chancellor_of_Germany>	<infobox/en/insigniasize>	"100px"
	<Chancellor_of_Germany>	<infobox/en/post>	"Chancellor"
	<Chancellor_of_Germany>	<infobox/en/website>	<http://bundeskanzlerin.de>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/chairperson>	<Angela_Merkel>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/chairperson>	<Chancellor_of_Germany_(Federal_Republic)>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/chairperson>	"Angela Merkel"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/colorcode>	"59"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/colorcode>	"7"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/colors>	<Black>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/colors>	<Orange_(colour)>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/colors>	"Black"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/colors>	"Orange"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/country>	"Germany"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/europarl>	<European_People's_Party_(European_Parliament_group)>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/europarl>	"European People's Party"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/european>	<European_People's_Party>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/european>	"European People's Party"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/foundation>	"1945"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/foundation>	"1945"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/foundation>	"1945-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/headquarters>	<Berlin>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/headquarters>	"8"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/headquarters>	"10785"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/headquarters>	"Klingelhöferstraße 8"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/headquarters>	"Berlin"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/ideology>	<Christian_democracy>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/ideology>	<Liberal_conservatism>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/ideology>	"Christian democracy"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/ideology>	"Liberal conservatism"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/international>	<Centrist_Democrat_International>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/international>	<International_Democrat_Union>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/international>	"Centrist Democrat International"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/international>	"International Democrat Union"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/membership>	"499646"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/membership>	"499-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/membership>	"646-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/membershipyear>	"2011"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/membershipyear>	"2011"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/membershipyear>	"2011-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/nativename>	<Christlich_Demokratische_Union_Deutschlands>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/nativename>	"Christlich Demokratische Union Deutschlands"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/newspaper>	<wordnet_union_108233056>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/newspaper>	"Union"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/partyname>	<Christian_Democratic_Union_of_Germany>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/partyname>	"Christian Democratic Union of Germany"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/position>	<Centre-right>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/position>	"Centre-right"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"193"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"620"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"59"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"7"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"193-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"620-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"34"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"99"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"59"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"7"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"589"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"1860"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"59"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"7"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"589-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"1860-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"7"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"16"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seats>	"59"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	<Bundestag>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	"Seats in the Bundestag"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	<Composition_of_the_German_Regional_Parliaments>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	"Seats in the Regional Parliaments"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	<European_Parliament_election,_2009_(Germany)>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	"2009"^^xsd:integer
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	"Seats in the European Parliament"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	"2009-##-##"^^xsd:date
	<Christian_Democratic_Union_(Germany)>	<infobox/en/seatstitle>	"Prime ministers of states"
	<Christian_Democratic_Union_(Germany)>	<infobox/en/website>	<http://www.cdu.de>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/youthwing>	<Young_Union>
	<Christian_Democratic_Union_(Germany)>	<infobox/en/youthwing>	"Young Union"
	<Christian_Wulff>	<infobox/en/almamater>	<University_of_Osnabrück>
	<Christian_Wulff>	<infobox/en/almamater>	"University of Osnabrück"
	<Christian_Wulff>	<infobox/en/birthdate>	"1959"^^xsd:integer
	<Christian_Wulff>	<infobox/en/birthdate>	"6"^^xsd:integer
	<Christian_Wulff>	<infobox/en/birthdate>	"19"^^xsd:integer
	<Christian_Wulff>	<infobox/en/birthdate>	"1959-06-19"^^xsd:date
	<Christian_Wulff>	<infobox/en/birthplace>	<Osnabrück>
	<Christian_Wulff>	<infobox/en/birthplace>	<West_Germany>
	<Christian_Wulff>	<infobox/en/birthplace>	"Osnabrück"
	<Christian_Wulff>	<infobox/en/birthplace>	"West Germany"
	<Christian_Wulff>	<infobox/en/chancellor>	<Angela_Merkel>
	<Christian_Wulff>	<infobox/en/chancellor>	"Angela Merkel"
	<Christian_Wulff>	<infobox/en/children>	"Annalena"
	<Christian_Wulff>	<infobox/en/children>	"Linus"
	<Christian_Wulff>	<infobox/en/image>	"7770"^^xsd:integer
	<Christian_Wulff>	<infobox/en/name>	<Christian_Wulff>
	<Christian_Wulff>	<infobox/en/name>	"Christian Wulff"
	<Christian_Wulff>	<infobox/en/office>	<President_of_Germany>
	<Christian_Wulff>	<infobox/en/office>	"President of Germany"
	<Christian_Wulff>	<infobox/en/office>	<Prime_Minister_of_Lower_Saxony>
	<Christian_Wulff>	<infobox/en/office>	"Prime Minister of Lower Saxony"
	<Christian_Wulff>	<infobox/en/party>	<Christian_Democratic_Union_(Germany)>
	<Christian_Wulff>	<infobox/en/party>	"Christian Democratic Union"
	<Christian_Wulff>	<infobox/en/predecessor>	<Horst_Köhler>
	<Christian_Wulff>	<infobox/en/predecessor>	"Horst Köhler"
	<Christian_Wulff>	<infobox/en/predecessor>	<Sigmar_Gabriel>
	<Christian_Wulff>	<infobox/en/predecessor>	"Sigmar Gabriel"
	<Christian_Wulff>	<infobox/en/religion>	<Roman_Catholic>
	<Christian_Wulff>	<infobox/en/religion>	"Roman Catholic"
	<Christian_Wulff>	<infobox/en/spouse>	<Bettina_Wulff>
	<Christian_Wulff>	<infobox/en/spouse>	"1988"^^xsd:integer
	<Christian_Wulff>	<infobox/en/spouse>	"2006"^^xsd:integer
	<Christian_Wulff>	<infobox/en/spouse>	"2008"^^xsd:integer
	<Christian_Wulff>	<infobox/en/spouse>	"Christiane Wulff"
	<Christian_Wulff>	<infobox/en/spouse>	"Bettina Körner"
	<Christian_Wulff>	<infobox/en/spouse>	"1988-##-##"^^xsd:date
	<Christian_Wulff>	<infobox/en/spouse>	"2006-##-##"^^xsd:date
	<Christian_Wulff>	<infobox/en/spouse>	"2008-##-##"^^xsd:date
	<Christian_Wulff>	<infobox/en/successor>	<David_McAllister>
	<Christian_Wulff>	<infobox/en/successor>	"David McAllister"
	<Christian_Wulff>	<infobox/en/successor>	<German_presidential_election,_2012>
	<Christian_Wulff>	<infobox/en/successor>	"2012"^^xsd:integer
	<Christian_Wulff>	<infobox/en/successor>	"To be determined"
	<Christian_Wulff>	<infobox/en/successor>	"2012-##-##"^^xsd:date
	<Christian_Wulff>	<infobox/en/termend>	"17"^^xsd:integer
	<Christian_Wulff>	<infobox/en/termend>	"2012"^^xsd:integer
	<Christian_Wulff>	<infobox/en/termend>	"17 February 2012"
	<Christian_Wulff>	<infobox/en/termend>	"2012-02-17"^^xsd:date
	<Christian_Wulff>	<infobox/en/termend>	"30"^^xsd:integer
	<Christian_Wulff>	<infobox/en/termend>	"2010"^^xsd:integer
	<Christian_Wulff>	<infobox/en/termend>	"30 June 2010"
	<Christian_Wulff>	<infobox/en/termend>	"2010-06-30"^^xsd:date
	<Christian_Wulff>	<infobox/en/termstart>	"30"^^xsd:integer
	<Christian_Wulff>	<infobox/en/termstart>	"2010"^^xsd:integer
	<Christian_Wulff>	<infobox/en/termstart>	"30 June 2010"
	<Christian_Wulff>	<infobox/en/termstart>	"2010-06-30"^^xsd:date
	<Christian_Wulff>	<infobox/en/termstart>	"4"^^xsd:integer
	<Christian_Wulff>	<infobox/en/termstart>	"2003"^^xsd:integer
	<Christian_Wulff>	<infobox/en/termstart>	"4 March 2003"
	<Christian_Wulff>	<infobox/en/termstart>	"2003-03-04"^^xsd:date
	<Christian_Wulff>	<infobox/en/website>	<http://www.christianwulff.de/>
	<Evangelical_Church_in_Germany>	<infobox/en/area>	<Germany>
	<Evangelical_Church_in_Germany>	<infobox/en/area>	"Germany"
	<Evangelical_Church_in_Germany>	<infobox/en/associations>	<World_Council_of_Churches>
	<Evangelical_Church_in_Germany>	<infobox/en/associations>	<Community_of_Protestant_Churches_in_Europe>
	<Evangelical_Church_in_Germany>	<infobox/en/associations>	"World Council of Churches"
	<Evangelical_Church_in_Germany>	<infobox/en/associations>	"Community of Protestant Churches in Europe"
	<Evangelical_Church_in_Germany>	<infobox/en/foundeddate>	"1948"^^xsd:integer
	<Evangelical_Church_in_Germany>	<infobox/en/foundeddate>	"1948"
	<Evangelical_Church_in_Germany>	<infobox/en/foundeddate>	"1948-##-##"^^xsd:date
	<Evangelical_Church_in_Germany>	<infobox/en/imagewidth>	"260"^^<px>
	<Evangelical_Church_in_Germany>	<infobox/en/imagewidth>	"260px"
	<Evangelical_Church_in_Germany>	<infobox/en/mainclassification>	<Protestant>
	<Evangelical_Church_in_Germany>	<infobox/en/mainclassification>	"Protestant"
	<Evangelical_Church_in_Germany>	<infobox/en/members>	"24500000"^^xsd:decimal
	<Evangelical_Church_in_Germany>	<infobox/en/members>	"10"^^xsd:integer
	<Evangelical_Church_in_Germany>	<infobox/en/members>	"0"^^xsd:integer
	<Evangelical_Church_in_Germany>	<infobox/en/members>	"14"^^xsd:integer
	<Evangelical_Church_in_Germany>	<infobox/en/members>	"400"^^xsd:integer
	<Evangelical_Church_in_Germany>	<infobox/en/members>	"400-##-##"^^xsd:date
	<Evangelical_Church_in_Germany>	<infobox/en/name>	<Evangelical_Church_in_Germany>
	<Evangelical_Church_in_Germany>	<infobox/en/name>	"Evangelical Church in Germany"
	<Evangelical_Church_in_Germany>	<infobox/en/orientation>	<Lutheranism>
	<Evangelical_Church_in_Germany>	<infobox/en/orientation>	<Prussian_Union_(Evangelical_Christian_Church)>
	<Evangelical_Church_in_Germany>	<infobox/en/orientation>	<Reformed_Churches>
	<Evangelical_Church_in_Germany>	<infobox/en/orientation>	"Lutheranism"
	<Evangelical_Church_in_Germany>	<infobox/en/orientation>	"Unified"
	<Evangelical_Church_in_Germany>	<infobox/en/orientation>	"Reformed"
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	<federation>
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	<Landeskirche>
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	<Presbyterian_polity>
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	<Congregationalist>
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	<Episcopal_polity>
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	<synod>
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	"22"^^xsd:integer
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	"federation"
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	"regional and denominational churches"
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	"Presbyterian"
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	"Congregationalist"
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	"Episcopal"
	<Evangelical_Church_in_Germany>	<infobox/en/polity>	"synod"
	<Evangelical_Church_in_Germany>	<infobox/en/website>	<http://ekd.de/english/index.html>
	<Frank-Walter_Steinmeier>	<infobox/en/almamater>	<University_of_Giessen>
	<Frank-Walter_Steinmeier>	<infobox/en/almamater>	"University of Giessen"
	<Frank-Walter_Steinmeier>	<infobox/en/birthdate>	"1956"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/birthdate>	"1"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/birthdate>	"5"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/birthdate>	"1956-01-05"^^xsd:date
	<Frank-Walter_Steinmeier>	<infobox/en/birthplace>	<Detmold>
	<Frank-Walter_Steinmeier>	<infobox/en/birthplace>	<West_Germany>
	<Frank-Walter_Steinmeier>	<infobox/en/birthplace>	"Detmold"
	<Frank-Walter_Steinmeier>	<infobox/en/birthplace>	"West Germany"
	<Frank-Walter_Steinmeier>	<infobox/en/caption>	"2008"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/caption>	"2008-##-##"^^xsd:date
	<Frank-Walter_Steinmeier>	<infobox/en/image>	"25"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/nationality>	<Germany>
	<Frank-Walter_Steinmeier>	<infobox/en/nationality>	"German"
	<Frank-Walter_Steinmeier>	<infobox/en/office>	<Minister_for_Foreign_Affairs_(Germany)>
	<Frank-Walter_Steinmeier>	<infobox/en/office>	"Foreign Minister of Germany"
	<Frank-Walter_Steinmeier>	<infobox/en/office>	<Vice_Chancellor_of_Germany>
	<Frank-Walter_Steinmeier>	<infobox/en/office>	"Vice Chancellor of Germany"
	<Frank-Walter_Steinmeier>	<infobox/en/party>	<Social_Democratic_Party_of_Germany>
	<Frank-Walter_Steinmeier>	<infobox/en/party>	"Social Democratic Party of Germany"
	<Frank-Walter_Steinmeier>	<infobox/en/predecessor>	<Franz_Müntefering>
	<Frank-Walter_Steinmeier>	<infobox/en/predecessor>	"Franz Müntefering"
	<Frank-Walter_Steinmeier>	<infobox/en/predecessor>	<Joschka_Fischer>
	<Frank-Walter_Steinmeier>	<infobox/en/predecessor>	"Joschka Fischer"
	<Frank-Walter_Steinmeier>	<infobox/en/religion>	<Evangelical_Church_in_Germany>
	<Frank-Walter_Steinmeier>	<infobox/en/religion>	"Evangelical Church in Germany"
	<Frank-Walter_Steinmeier>	<infobox/en/smallimage>	"24"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/successor>	<Guido_Westerwelle>
	<Frank-Walter_Steinmeier>	<infobox/en/successor>	"Guido Westerwelle"
	<Frank-Walter_Steinmeier>	<infobox/en/termend>	"27"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/termend>	"2009"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/termend>	"27 October 2009"
	<Frank-Walter_Steinmeier>	<infobox/en/termend>	"2009-10-27"^^xsd:date
	<Frank-Walter_Steinmeier>	<infobox/en/termstart>	"21"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/termstart>	"2007"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/termstart>	"21 November 2007"
	<Frank-Walter_Steinmeier>	<infobox/en/termstart>	"2007-11-21"^^xsd:date
	<Frank-Walter_Steinmeier>	<infobox/en/termstart>	"22"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/termstart>	"2005"^^xsd:integer
	<Frank-Walter_Steinmeier>	<infobox/en/termstart>	"22 November 2005"
	<Frank-Walter_Steinmeier>	<infobox/en/termstart>	"2005-11-22"^^xsd:date
	<Franz_Müntefering>	<infobox/en/birthdate>	"1940"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/birthdate>	"1"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/birthdate>	"16"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/birthdate>	"1940-01-16"^^xsd:date
	<Franz_Müntefering>	<infobox/en/birthplace>	<Neheim-Hüsten>
	<Franz_Müntefering>	<infobox/en/birthplace>	<Germany>
	<Franz_Müntefering>	<infobox/en/birthplace>	"Neheim"
	<Franz_Müntefering>	<infobox/en/birthplace>	"Germany"
	<Franz_Müntefering>	<infobox/en/image>	"1"^^xsd:integer
	<Franz_Müntefering>	<infobox/en/imagesize>	"200"^^<px>
	<Franz_Müntefering>	<infobox/en/imagesize>	"200px"
	<Franz_Müntefering>	<infobox/en/name>	<Franz_Müntefering>
	<Franz_Müntefering>	<infobox/en/name>	"Franz Müntefering"
	<Franz_Müntefering>	<infobox/en/nationality>	<Germany>
	<Franz_Müntefering>	<infobox/en/nationality>	"German"
